x y z yaw
0.612487 0.0707531 -0.0177313 0.0366427
0.612531 0.0703079 -0.0176428 0.0366475
0.612565 0.0699461 -0.0175729 0.036644
0.596543 0.0903229 -0.0175946 0.0361137
0.594703 0.0923306 -0.0175216 0.0361231
0.593201 0.0939689 -0.017463 0.0361289
0.591638 0.0956748 -0.0174029 0.0361437
0.589785 0.0976983 -0.0173324 0.0361475
0.58829 0.0993314 -0.0172767 0.0361458
0.586737 0.10103 -0.0172203 0.0361508
0.584886 0.103056 -0.0171531 0.0361764
0.583392 0.104692 -0.0170987 0.0361887
0.583944 0.0955673 -0.0128212 0.0362454
0.58227 0.0963885 -0.0122525 0.0362363
0.580921 0.0970494 -0.0117971 0.0362291
0.579529 0.0977309 -0.0113272 0.0362379
0.577857 0.0985486 -0.0107632 0.0362428
0.576502 0.0992116 -0.010306 0.0362467
0.57512 0.0998875 -0.00984182 0.0362508
0.573441 0.100708 -0.00928259 0.0362557
0.572093 0.101365 -0.00883524 0.0362643
0.57941 0.0771948 -0.0135401 0.0370451
0.578716 0.0751364 -0.0135699 0.0370249
0.578148 0.0734518 -0.0135952 0.0370073
0.577558 0.0716979 -0.0136223 0.0370056
0.576857 0.0696137 -0.0136546 0.037007
0.576291 0.0679328 -0.0136814 0.036996
0.575701 0.0661826 -0.0137114 0.0370059
0.574997 0.0641011 -0.0137497 0.0369993
0.599798 0.076075 -0.0189556 0.0369276
0.601733 0.0757936 -0.0194883 0.0369269
0.60408 0.0754523 -0.0201358 0.0369167
0.605977 0.0751769 -0.0206615 0.0368908
0.607937 0.0748928 -0.0212068 0.0369026
0.61029 0.074552 -0.0218642 0.0369074
0.612198 0.0742763 -0.0223977 0.0369104
0.614178 0.0739909 -0.0229524 0.0369097
0.616507 0.073656 -0.023608 0.0368996
0.599704 0.0887358 -0.0182548 0.0367084
0.599887 0.0899754 -0.0182412 0.0367203
0.600104 0.0914335 -0.0182271 0.036732
0.6003 0.0927402 -0.0182159 0.0367302
0.600466 0.0938573 -0.0182069 0.0367286
0.600685 0.0953234 -0.0181946 0.0367288
0.600861 0.0965091 -0.0181848 0.0367327
0.601042 0.0977338 -0.0181766 0.0367137
0.601259 0.0992158 -0.018169 0.0367
0.58324 0.0815127 -0.0153312 0.0368189
0.581627 0.0809151 -0.0150422 0.036823
0.579693 0.0801978 -0.0146985 0.0368522
0.578145 0.079622 -0.0144255 0.0368673
0.576477 0.0790002 -0.0141333 0.0368825
0.574588 0.0782957 -0.0138056 0.0369133
0.573034 0.0777159 -0.0135377 0.036933
0.571019 0.0769635 -0.0131904 0.0369453
0.594024 0.0754246 -0.0156876 0.0348642
0.594885 0.0748029 -0.0156986 0.0348698
0.595804 0.0741382 -0.0157134 0.0348564
0.596892 0.0733544 -0.0157333 0.0348394
0.597777 0.0727181 -0.015751 0.0348433
0.598701 0.0720532 -0.0157712 0.0348387
0.599799 0.0712615 -0.0157953 0.0348528
0.600678 0.0706263 -0.0158157 0.034866
0.601698 0.0698906 -0.015842 0.0348877
0.60269 0.069175 -0.0158693 0.0348555
