dR dT
0.0025154 0.0193709
0.00510002 0.0363627
0.0063465 0.0342688
0.0210367 0.0455043
0.012165 0.0426068
0.00802593 0.179151
0.0253389 0.290453
0.0133366 0.0349697
0.00625151 0.0189972
0.00929182 0.0775088
0.0100725 0.046748
0.00311717 0.0334772
0.00421625 0.0335118
0.0138014 0.100696
0.0369262 0.141984
0.00513666 0.0159312
0.00688639 0.0475415
0.00422332 0.133218
0.00540915 0.150426
0.0291842 0.0467239
0.00893465 0.0155303
0.00479527 0.0183181
0.00850558 0.0145963
0.0178708 0.0450789
0.0272806 0.0571187
0.0256242 0.184811
0.0164598 0.157183
0.0880577 0.378137
0.0152538 0.0567251
0.00260108 0.0441338
0.00857328 0.135503
0.00746003 0.0273586
0.0294671 0.0445344
0.0157863 0.0356612
0.0404756 0.339896
0.00557099 0.0308276
0.00561204 0.0269694
0.0135923 0.0367715
0.00359918 0.027504
0.00884718 0.0112648
0.0127898 0.179856
0.00475748 0.232533
0.0269764 0.0418202
0.0120459 0.038907
0.0147385 0.105048
0.018675 0.0300331
0.0287327 0.196176
0.00525662 0.0145319
0.00965577 0.0331346
0.0665825 0.393824
0.0253787 0.0472059
0.00654413 0.030278
0.0296121 0.0135774
0.0187173 0.14564
0.0216827 0.0675694
0.022677 0.0800402
0.0146203 0.109
0.00491328 0.0707046
0.00912759 0.0572017
0.0910406 0.0980672
0.12469 0.918867
0.0114078 0.176854
0.00397225 0.016491
0.0111167 0.0145369
0.00610768 0.0380781
0.0882636 0.313629
0.0176391 0.0380791
0.00671743 0.0347557
0.0211852 0.0358081
0.00627098 0.0486011
0.00476169 0.0298752
0.0161478 0.0884553
0.00569901 0.119557
0.00159378 0.0436275
0.0103372 0.141842
0.0268272 0.225033
0.014934 0.185009
0.00856753 0.102771
0.0154592 0.0480281
0.117306 0.647367
0.0154495 0.0295677
0.00821385 0.043073
0.0045889 0.0329602
0.0235452 0.0391529
0.0040748 0.034755
0.00550015 0.0545822
0.0145864 0.229123
0.0200414 0.122871
0.0172621 0.0366099
0.0102168 0.0369363
0.00376111 0.039757
0.00612232 0.0425678
0.0083332 0.0403325
0.0420654 0.180407
0.0482257 0.169467
0.0102357 0.0513389
0.0191637 0.0317222
0.00648165 0.0917898
0.00413527 0.0950442
0.0266897 0.0292622
0.00635123 0.049905
0.0110119 0.100156
0.0107925 0.0597161
0.00410653 0.042425
0.00180621 0.0222713
0.0107049 0.0469164
0.00346063 0.0449451
0.00488203 0.0347897
0.0905142 0.456
0.00528013 0.0402036
0.0199022 0.113244
0.00628927 0.0378548
0.0482802 0.0185693
0.00273741 0.0314971
0.00403597 0.0351965
0.0132897 0.040625
0.0086804 0.0413347
0.00491043 0.0162621
0.028856 0.033979
0.0333644 0.225186
0.0329662 0.167769
0.00299104 0.0382918
0.0169852 0.20134
0.0132762 0.0321003
