dR dT
0.0363703 0.369776
0.0489595 0.34381
0.0271285 0.218099
0.0134042 0.587754
0.0547287 0.260971
0.0310885 0.328077
0.137314 1.14211
0.270894 0.391259
0.24417 2.50123
0.110433 0.705072
0.0462302 0.0982696
0.0817709 0.917556
0.00881128 0.244864
0.032349 0.146816
0.0510577 0.280141
0.0348223 0.565154
0.0980641 0.365794
0.0621241 0.178497
0.177555 0.597435
0.111405 0.465817
0.0275634 0.132153
0.0268068 0.255167
0.0204066 0.276213
0.144166 0.423987
0.106444 1.67665
0.0999497 0.796921
0.0401313 0.689603
0.118115 0.329604
0.0420486 0.539248
0.102091 0.16683
0.110631 0.239408
0.102376 0.338174
0.0444762 0.183454
0.0853109 0.704533
0.0323173 0.225895
0.0373448 0.467629
0.0613348 0.648616
0.0952864 1.01267
0.0662197 0.556394
0.0908415 0.133841
0.146092 1.33628
0.0907183 0.386805
0.102272 0.410691
0.0593141 0.926106
0.124222 0.630046
0.0514884 0.686927
0.0291043 0.260683
0.0196367 0.449066
0.0236313 0.336976
0.134238 0.407945
0.0417501 0.327568
0.0683718 0.119273
0.0619419 0.183206
0.0281918 0.241335
0.0424641 0.129134
0.158718 0.976152
0.0195731 0.033835
0.0965663 0.504185
0.058637 0.100487
0.162602 1.033
0.0711086 0.226541
0.0777552 1.46313
0.0496658 0.867681
0.0534337 1.26406
0.109683 1.77196
0.333308 2.61877
0.0498395 0.769873
0.0300261 0.163594
0.0990887 0.87956
0.0849713 0.530707
0.0473222 0.490666
0.0689826 0.432839
0.0198636 0.238636
0.192033 0.693392
0.0200093 0.961271
0.0509598 0.460821
0.0713755 0.979242
0.287302 2.87291
0.140394 1.01937
0.0839324 0.770064
0.0682618 0.658627
0.0242519 0.348914
0.0115594 0.347662
0.0621653 0.629458
0.10679 0.171074
0.00541075 0.0883146
0.0215403 0.497551
0.0469733 0.935839
0.0566343 1.00407
0.0433042 0.263619
0.105575 1.10094
0.0343016 0.495551
0.0463548 0.32318
0.0988191 1.22012
0.0817324 0.5595
0.216393 2.07577
0.0331272 0.0481831
0.0532892 0.623781
0.0291295 0.230102
0.0376439 0.230279
0.047316 0.290585
0.0537336 0.365886
0.0372276 0.387866
0.0977309 0.952829
0.0808009 0.197805
0.0445661 0.232297
0.0895073 0.929721
0.0558116 1.01146
0.0809899 0.989501
